Bitcoin,"$17,356.23",-0.19%,$15.85 B,$15.85 B
Ethereum,"$1,341.39",+0.53%,$332.11 B,$332.11 B
Tether,$1.02,-0.00%,$6.08 B,$6.08 B
BNB,$277.99,-1.66%,$162.31 B,$162.31 B
USD Coin,$1.00,-0.02%,$26.02 B,$26.02 B
XRP,$0.3518,-1.68%,$66.26 B,$66.26 B
Binance USD,$1.00,-0.08%,$585.42 M,$585.42 M
Cardano,$0.3195,-2.84%,$43.85 B,$43.85 B
Dogecoin,$0.07705,-2.10%,$2.72 B,$2.72 B
Polygon,$0.8508,-2.85%,$43.89 B,$43.89 B
Solana,$16.71,-2.32%,$1.09 B,$1.09 B
Dai,$1.01,-0.03%,$17.55 B,$17.55 B
Litecoin,$81.28,-2.41%,$6.25 B,$6.25 B
Polkadot,$4.95,-2.07%,$16.37 B,$16.37 B
Shiba Inu,$0.000009415,+3.74%,$550.87 M,$550.87 M
TRON,$0.05399,-2.32%,$10.86 B,$10.86 B
Uniswap,$5.80,-3.23%,$716.54 M,$716.54 M
Avalanche,$12.61,-0.29%,$10.08 B,$10.08 B
UNUS SED LEO,$3.46,-0.02%,$333.55 M,$333.55 M
Cosmos,$11.22,-2.30%,$7.33 B,$7.33 B
Chainlink,$6.17,-1.40%,$1.23 B,$1.23 B
Monero,$159.02,+0.25%,$5.91 B,$5.91 B
Ethereum Classic,$20.36,-5.25%,$150.1 M,$150.1 M
Toncoin,$2.10,-6.37%,$5.81 B,$5.81 B
Bitcoin Cash,$109.06,+0.38%,$610.14 M,$610.14 M
Stellar,$0.07964,-1.86%,$5.77 B,$5.77 B
ApeCoin,$4.91,+2.36%,$178.98 M,$178.98 M
Lido DAO Token,$2.05,+5.02%,$5.63 B,$5.63 B
Cronos,$0.06382,-0.85%,$466.85 M,$466.85 M
OKB,$26.61,-2.91%,$5.06 B,$5.06 B
Quant,$121.58,+0.15%,$233.86 M,$233.86 M
Algorand,$0.2017,-3.49%,$4.96 B,$4.96 B
NEAR Protocol,$1.65,-4.57%,$85.25 M,$85.25 M
Filecoin,$3.77,-2.96%,$4.34 B,$4.34 B
VeChain,$0.01798,-2.54%,$225.19 M,$225.19 M
Internet Computer,$4.28,-2.90%,$3.87 B,$3.87 B
Hedera,$0.04577,-1.22%,$2.2 M,$2.2 M
Frax,$0.9981,-0.68%,$3.3 B,$3.3 B
EOS,$0.9545,-0.14%,$156.23 M,$156.23 M
Luna Classic,$0.0001834,+1.41%,$3.15 B,$3.15 B
BitDAO,$0.4589,+0.47%,$247.97 M,$247.97 M
Pax Dollar,$0.9998,-0.00%,$3.09 B,$3.09 B
Aave,$62.41,-1.84%,$98.97 M,$98.97 M
Bitcoin SV,$44.42,+0.17%,$2.9 B,$2.9 B
TrueUSD,$1.01,-0.11%,$304.81 M,$304.81 M
Elrond,$35.44,-4.11%,$2.78 B,$2.78 B
Flow,$0.7851,-1.62%,$34.28 M,$34.28 M
Theta Network,$0.8019,-1.68%,$2.57 B,$2.57 B
Chiliz,$0.1234,+5.01%,$189.64 M,$189.64 M
Huobi Token,$4.85,+1.17%,$2.07 B,$2.07 B
